--- Starting Training ---
Episode    0 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.00000 | Epsilon: 0.988
Episode 0: Target network updated.
Episode    1 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.00000 | Epsilon: 0.976
Episode    2 | Reward:    16.0 | Duration:   16 | Avg Loss: 0.00000 | Epsilon: 0.960
Episode    3 | Reward:    41.0 | Duration:   41 | Avg Loss: 0.00000 | Epsilon: 0.922
Episode    4 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.00000 | Epsilon: 0.910
Episode    5 | Reward:    31.0 | Duration:   31 | Avg Loss: 0.00000 | Epsilon: 0.883
Episode    6 | Reward:    61.0 | Duration:   61 | Avg Loss: 0.37387 | Epsilon: 0.831
Episode    7 | Reward:    43.0 | Duration:   43 | Avg Loss: 0.17922 | Epsilon: 0.797
Episode    8 | Reward:    55.0 | Duration:   55 | Avg Loss: 0.06689 | Epsilon: 0.754
Episode    9 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.02614 | Epsilon: 0.745
Episode   10 | Reward:    31.0 | Duration:   31 | Avg Loss: 0.01868 | Epsilon: 0.722
Episode 10: Target network updated.
Episode   11 | Reward:    40.0 | Duration:   40 | Avg Loss: 0.31829 | Epsilon: 0.695
Episode   12 | Reward:    46.0 | Duration:   46 | Avg Loss: 0.06667 | Epsilon: 0.664
Episode   13 | Reward:    17.0 | Duration:   17 | Avg Loss: 0.04191 | Epsilon: 0.653
Episode   14 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.04424 | Epsilon: 0.647
Episode   15 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.03978 | Epsilon: 0.637
Episode   16 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.04428 | Epsilon: 0.629
Episode   17 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.04432 | Epsilon: 0.621
Episode   18 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.03912 | Epsilon: 0.612
Episode   19 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.03726 | Epsilon: 0.605
Episode   20 | Reward:    16.0 | Duration:   16 | Avg Loss: 0.03702 | Epsilon: 0.596
Episode 20: Target network updated.
Episode   21 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.53243 | Epsilon: 0.590
Episode   22 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.34820 | Epsilon: 0.584
Episode   23 | Reward:    16.0 | Duration:   16 | Avg Loss: 0.17751 | Epsilon: 0.575
Episode   24 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.11812 | Epsilon: 0.568
Episode   25 | Reward:    17.0 | Duration:   17 | Avg Loss: 0.11729 | Epsilon: 0.558
Episode   26 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.10122 | Epsilon: 0.552
Episode   27 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.09709 | Epsilon: 0.546
Episode   28 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.12875 | Epsilon: 0.540
Episode   29 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.11435 | Epsilon: 0.535
Episode   30 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.10630 | Epsilon: 0.529
Episode 30: Target network updated.
Episode   31 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.58031 | Epsilon: 0.524
Episode   32 | Reward:     8.0 | Duration:    8 | Avg Loss: 0.41092 | Epsilon: 0.520
Episode   33 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.24332 | Epsilon: 0.516
Episode   34 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.23939 | Epsilon: 0.508
Episode   35 | Reward:    16.0 | Duration:   16 | Avg Loss: 0.17552 | Epsilon: 0.500
Episode   36 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.16299 | Epsilon: 0.495
Episode   37 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.19638 | Epsilon: 0.489
Episode   38 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.17490 | Epsilon: 0.484
Episode   39 | Reward:    19.0 | Duration:   19 | Avg Loss: 0.16933 | Epsilon: 0.475
Episode   40 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.16479 | Epsilon: 0.470
Episode 40: Target network updated.
Episode   41 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.56062 | Epsilon: 0.463
Episode   42 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.33465 | Epsilon: 0.459
Episode   43 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.25420 | Epsilon: 0.453
Episode   44 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.26098 | Epsilon: 0.448
Episode   45 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.24701 | Epsilon: 0.443
Episode   46 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.21859 | Epsilon: 0.438
Episode   47 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.22429 | Epsilon: 0.434
Episode   48 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.19249 | Epsilon: 0.430
Episode   49 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.25032 | Epsilon: 0.426
Episode   50 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.22538 | Epsilon: 0.421
Episode 50: Target network updated.
Episode   51 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.65734 | Epsilon: 0.416
Episode   52 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.39807 | Epsilon: 0.412
Episode   53 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.31348 | Epsilon: 0.407
Episode   54 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.33028 | Epsilon: 0.403
Episode   55 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.31624 | Epsilon: 0.399
Episode   56 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.26170 | Epsilon: 0.396
Episode   57 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.29111 | Epsilon: 0.391
Episode   58 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.28528 | Epsilon: 0.387
Episode   59 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.22910 | Epsilon: 0.383
Episode   60 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.30390 | Epsilon: 0.378
Episode 60: Target network updated.
Episode   61 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.70336 | Epsilon: 0.375
Episode   62 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.40054 | Epsilon: 0.371
Episode   63 | Reward:     8.0 | Duration:    8 | Avg Loss: 0.37069 | Epsilon: 0.368
Episode   64 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.37641 | Epsilon: 0.364
Episode   65 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.27492 | Epsilon: 0.360
Episode   66 | Reward:    16.0 | Duration:   16 | Avg Loss: 0.34101 | Epsilon: 0.355
Episode   67 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.35839 | Epsilon: 0.351
Episode   68 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.32320 | Epsilon: 0.347
Episode   69 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.31897 | Epsilon: 0.343
Episode   70 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.32278 | Epsilon: 0.339
Episode 70: Target network updated.
Episode   71 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.69773 | Epsilon: 0.335
Episode   72 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.54338 | Epsilon: 0.332
Episode   73 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.43072 | Epsilon: 0.329
Episode   74 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.47420 | Epsilon: 0.324
Episode   75 | Reward:    17.0 | Duration:   17 | Avg Loss: 0.41999 | Epsilon: 0.319
Episode   76 | Reward:    13.0 | Duration:   13 | Avg Loss: 0.35179 | Epsilon: 0.315
Episode   77 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.42445 | Epsilon: 0.311
Episode   78 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.43525 | Epsilon: 0.309
Episode   79 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.32795 | Epsilon: 0.306
Episode   80 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.36453 | Epsilon: 0.302
Episode 80: Target network updated.
Episode   81 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.82039 | Epsilon: 0.299
Episode   82 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.58223 | Epsilon: 0.297
Episode   83 | Reward:    14.0 | Duration:   14 | Avg Loss: 0.48761 | Epsilon: 0.293
Episode   84 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.49217 | Epsilon: 0.290
Episode   85 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.40859 | Epsilon: 0.287
Episode   86 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.45061 | Epsilon: 0.284
Episode   87 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.44780 | Epsilon: 0.281
Episode   88 | Reward:    15.0 | Duration:   15 | Avg Loss: 0.47265 | Epsilon: 0.277
Episode   89 | Reward:    12.0 | Duration:   12 | Avg Loss: 0.45213 | Epsilon: 0.274
Episode   90 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.56528 | Epsilon: 0.272
Episode 90: Target network updated.
Episode   91 | Reward:    10.0 | Duration:   10 | Avg Loss: 0.82408 | Epsilon: 0.269
Episode   92 | Reward:     9.0 | Duration:    9 | Avg Loss: 0.66108 | Epsilon: 0.267
Episode   93 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.55963 | Epsilon: 0.264
Episode   94 | Reward:    11.0 | Duration:   11 | Avg Loss: 0.49932 | Epsilon: 0.261
