--- Starting Training ---
Episode    0 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01697 | Epsilon: 0.991
Episode 0: Target network updated.
Episode    1 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01782 | Epsilon: 0.981
Episode    2 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00166 | Epsilon: 0.972
Episode    3 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00166 | Epsilon: 0.963
Episode    4 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00149 | Epsilon: 0.954
Episode    5 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00168 | Epsilon: 0.945
Episode    6 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00151 | Epsilon: 0.936
Episode    7 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00160 | Epsilon: 0.927
Episode    8 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00186 | Epsilon: 0.918
Episode    9 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00174 | Epsilon: 0.910
Episode   10 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00226 | Epsilon: 0.901
Episode 10: Target network updated.
Episode   11 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01828 | Epsilon: 0.893
Episode   12 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00668 | Epsilon: 0.884
Episode   13 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00649 | Epsilon: 0.876
Episode   14 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00760 | Epsilon: 0.868
Episode   15 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00636 | Epsilon: 0.860
Episode   16 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00608 | Epsilon: 0.852
Episode   17 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00763 | Epsilon: 0.844
Episode   18 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00599 | Epsilon: 0.836
Episode   19 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00662 | Epsilon: 0.828
Episode   20 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00800 | Epsilon: 0.820
Episode 20: Target network updated.
Episode   21 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02103 | Epsilon: 0.812
Episode   22 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00957 | Epsilon: 0.805
Episode   23 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01245 | Epsilon: 0.797
Episode   24 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01158 | Epsilon: 0.790
Episode   25 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01323 | Epsilon: 0.783
Episode   26 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01086 | Epsilon: 0.775
Episode   27 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01053 | Epsilon: 0.768
Episode   28 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01286 | Epsilon: 0.761
Episode   29 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01150 | Epsilon: 0.754
Episode   30 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01150 | Epsilon: 0.747
Episode 30: Target network updated.
Episode   31 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02707 | Epsilon: 0.740
Episode   32 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01498 | Epsilon: 0.733
Episode   33 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01488 | Epsilon: 0.726
Episode   34 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01412 | Epsilon: 0.719
Episode   35 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01680 | Epsilon: 0.713
Episode   36 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01592 | Epsilon: 0.706
Episode   37 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01907 | Epsilon: 0.700
Episode   38 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01378 | Epsilon: 0.693
Episode   39 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01568 | Epsilon: 0.687
Episode   40 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01568 | Epsilon: 0.680
Episode 40: Target network updated.
Episode   41 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03097 | Epsilon: 0.674
Episode   42 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01983 | Epsilon: 0.668
Episode   43 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02079 | Epsilon: 0.662
Episode   44 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01955 | Epsilon: 0.656
Episode   45 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02185 | Epsilon: 0.650
Episode   46 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02196 | Epsilon: 0.644
Episode   47 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02342 | Epsilon: 0.638
Episode   48 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01842 | Epsilon: 0.632
Episode   49 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02281 | Epsilon: 0.626
Episode   50 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02119 | Epsilon: 0.620
Episode 50: Target network updated.
Episode   51 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03695 | Epsilon: 0.615
Episode   52 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02618 | Epsilon: 0.609
Episode   53 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02564 | Epsilon: 0.604
Episode   54 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02502 | Epsilon: 0.598
Episode   55 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02340 | Epsilon: 0.593
Episode   56 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02402 | Epsilon: 0.587
Episode   57 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02461 | Epsilon: 0.582
Episode   58 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02186 | Epsilon: 0.577
Episode   59 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02407 | Epsilon: 0.571
Episode   60 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02384 | Epsilon: 0.566
Episode 60: Target network updated.
Episode   61 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04344 | Epsilon: 0.561
Episode   62 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02757 | Epsilon: 0.556
Episode   63 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03083 | Epsilon: 0.551
Episode   64 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02898 | Epsilon: 0.546
Episode   65 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03039 | Epsilon: 0.541
Episode   66 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03182 | Epsilon: 0.536
Episode   67 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02923 | Epsilon: 0.531
Episode   68 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03065 | Epsilon: 0.527
Episode   69 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03091 | Epsilon: 0.522
Episode   70 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02899 | Epsilon: 0.517
Episode 70: Target network updated.
Episode   71 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04681 | Epsilon: 0.512
Episode   72 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04182 | Epsilon: 0.508
Episode   73 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03315 | Epsilon: 0.503
Episode   74 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03669 | Epsilon: 0.499
Episode   75 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03323 | Epsilon: 0.494
Episode   76 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03969 | Epsilon: 0.490
Episode   77 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02972 | Epsilon: 0.486
Episode   78 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03051 | Epsilon: 0.481
Episode   79 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03352 | Epsilon: 0.477
Episode   80 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03790 | Epsilon: 0.473
Episode 80: Target network updated.
Episode   81 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04865 | Epsilon: 0.468
Episode   82 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04200 | Epsilon: 0.464
Episode   83 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04169 | Epsilon: 0.460
Episode   84 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03473 | Epsilon: 0.456
Episode   85 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04146 | Epsilon: 0.452
Episode   86 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04417 | Epsilon: 0.448
Episode   87 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04207 | Epsilon: 0.444
Episode   88 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03724 | Epsilon: 0.440
Episode   89 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03905 | Epsilon: 0.436
Episode   90 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04154 | Epsilon: 0.432
Episode 90: Target network updated.
Episode   91 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05531 | Epsilon: 0.429
Episode   92 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04752 | Epsilon: 0.425
Episode   93 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04851 | Epsilon: 0.421
Episode   94 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04213 | Epsilon: 0.417
Episode   95 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04452 | Epsilon: 0.414
Episode   96 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04309 | Epsilon: 0.410
Episode   97 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04105 | Epsilon: 0.407
Episode   98 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04522 | Epsilon: 0.403
Episode   99 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04324 | Epsilon: 0.400
Episode  100 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03984 | Epsilon: 0.396
Episode 100: Target network updated.
Episode  101 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06217 | Epsilon: 0.393
Episode  102 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04799 | Epsilon: 0.389
Episode  103 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03975 | Epsilon: 0.386
Episode  104 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05026 | Epsilon: 0.382
Episode  105 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05405 | Epsilon: 0.379
Episode  106 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05409 | Epsilon: 0.376
Episode  107 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03977 | Epsilon: 0.373
Episode  108 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03679 | Epsilon: 0.369
Episode  109 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04770 | Epsilon: 0.366
Episode  110 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04617 | Epsilon: 0.363
Episode 110: Target network updated.
Episode  111 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05688 | Epsilon: 0.360
Episode  112 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04910 | Epsilon: 0.357
Episode  113 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06176 | Epsilon: 0.354
Episode  114 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05655 | Epsilon: 0.351
Episode  115 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04306 | Epsilon: 0.348
Episode  116 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05126 | Epsilon: 0.345
Episode  117 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05737 | Epsilon: 0.342
Episode  118 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05285 | Epsilon: 0.339
Episode  119 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05944 | Epsilon: 0.336
Episode  120 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05580 | Epsilon: 0.333
Episode 120: Target network updated.
Episode  121 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06237 | Epsilon: 0.330
Episode  122 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05618 | Epsilon: 0.328
Episode  123 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05087 | Epsilon: 0.325
Episode  124 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05708 | Epsilon: 0.322
Episode  125 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05135 | Epsilon: 0.319
Episode  126 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05574 | Epsilon: 0.317
Episode  127 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06198 | Epsilon: 0.314
Episode  128 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06376 | Epsilon: 0.312
Episode  129 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05890 | Epsilon: 0.309
Episode  130 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04605 | Epsilon: 0.306
Episode 130: Target network updated.
