--- Starting Training ---
Episode    0 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03862 | Epsilon: 0.990
Episode 0: Target network updated.
Episode    1 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02248 | Epsilon: 0.980
Episode    2 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00210 | Epsilon: 0.970
Episode    3 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00192 | Epsilon: 0.961
Episode    4 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00201 | Epsilon: 0.951
Episode    5 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00282 | Epsilon: 0.942
Episode    6 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00221 | Epsilon: 0.932
Episode    7 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00178 | Epsilon: 0.923
Episode    8 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00265 | Epsilon: 0.914
Episode    9 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00211 | Epsilon: 0.905
Episode   10 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00251 | Epsilon: 0.896
Episode   11 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00217 | Epsilon: 0.887
Episode   12 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00260 | Epsilon: 0.878
Episode   13 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00248 | Epsilon: 0.869
Episode   14 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00232 | Epsilon: 0.861
Episode   15 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00249 | Epsilon: 0.852
Episode   16 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00248 | Epsilon: 0.844
Episode   17 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00233 | Epsilon: 0.835
Episode   18 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00292 | Epsilon: 0.827
Episode   19 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00232 | Epsilon: 0.819
Episode   20 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00257 | Epsilon: 0.811
Episode 20: Target network updated.
Episode   21 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01909 | Epsilon: 0.803
Episode   22 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00783 | Epsilon: 0.795
Episode   23 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00800 | Epsilon: 0.787
Episode   24 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00654 | Epsilon: 0.779
Episode   25 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00782 | Epsilon: 0.771
Episode   26 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00676 | Epsilon: 0.763
Episode   27 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00676 | Epsilon: 0.756
Episode   28 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00636 | Epsilon: 0.748
Episode   29 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00743 | Epsilon: 0.741
Episode   30 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00740 | Epsilon: 0.733
Episode   31 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00820 | Epsilon: 0.726
Episode   32 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00622 | Epsilon: 0.719
Episode   33 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00636 | Epsilon: 0.712
Episode   34 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00623 | Epsilon: 0.705
Episode   35 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00656 | Epsilon: 0.698
Episode   36 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00752 | Epsilon: 0.691
Episode   37 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00738 | Epsilon: 0.684
Episode   38 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00876 | Epsilon: 0.677
Episode   39 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00771 | Epsilon: 0.670
Episode   40 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.00724 | Epsilon: 0.664
Episode 40: Target network updated.
Episode   41 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.02397 | Epsilon: 0.657
Episode   42 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01167 | Epsilon: 0.651
Episode   43 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01336 | Epsilon: 0.644
Episode   44 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01203 | Epsilon: 0.638
Episode   45 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01379 | Epsilon: 0.631
Episode   46 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01341 | Epsilon: 0.625
Episode   47 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01245 | Epsilon: 0.619
Episode   48 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01325 | Epsilon: 0.613
Episode   49 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01741 | Epsilon: 0.607
Episode   50 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01035 | Epsilon: 0.601
Episode   51 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01458 | Epsilon: 0.595
Episode   52 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01596 | Epsilon: 0.589
Episode   53 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01247 | Epsilon: 0.583
Episode   54 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01156 | Epsilon: 0.577
Episode   55 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01351 | Epsilon: 0.571
Episode   56 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01057 | Epsilon: 0.566
Episode   57 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01249 | Epsilon: 0.560
Episode   58 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01153 | Epsilon: 0.554
Episode   59 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01052 | Epsilon: 0.549
Episode   60 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01158 | Epsilon: 0.543
Episode 60: Target network updated.
Episode   61 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03189 | Epsilon: 0.538
Episode   62 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01923 | Epsilon: 0.533
Episode   63 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01943 | Epsilon: 0.527
Episode   64 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01708 | Epsilon: 0.522
Episode   65 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01709 | Epsilon: 0.517
Episode   66 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01688 | Epsilon: 0.512
Episode   67 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01684 | Epsilon: 0.507
Episode   68 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01818 | Epsilon: 0.502
Episode   69 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01336 | Epsilon: 0.497
Episode   70 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01606 | Epsilon: 0.492
Episode   71 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01606 | Epsilon: 0.487
Episode   72 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01743 | Epsilon: 0.482
Episode   73 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.01852 | Epsilon: 0.477
